Time,Country Name,GDP per capita growth (annual %) [NY.GDP.PCAP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Exports of goods and services (constant 2015 US$) [NE.EXP.GNFS.KD],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Net official aid received (constant 2018 US$) [DT.ODA.OATL.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Net investment in nonfinancial assets (% of GDP) [GC.NFN.TOTL.GD.ZS],"Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]"
2000,Philippines,2.181097426,1830.913247,38338061713,58.59843312,0.4647783617,,68.793,2.361018877,1.777214472,9.159202126
2000,Rwanda,2.463828928,344.9399779,175524986.5,,5.029538189,,48.649,,0.3917721085,3.279437528
2000,Samoa,6.399075,3269.376581,,,0.453318231,,68.748,,-0.4485940131,2.891975101
2000,Sao Tome and Principe,,,,,,,61.365,,,
2000,Senegal,1.458931826,1066.621645,2696391527,,2.34262536,,57.787,,1.350213298,1.259195461
2000,Sierra Leone,3.810032335,403.0498743,95605949.49,,14.25668728,,39.441,,6.133420204,3.281143083
2000,Solomon Islands,-16.57538393,1939.074464,128401535.5,,5.14785109,,67.442,,0.4773017407,5.58488111
2000,Somalia,,,,,,,50.869,,,
2000,South Sudan,,,,,,,49.166,,,
2000,Sri Lanka,5.354733552,1923.413482,10372878007,96.90403265,0.1909560329,,71.333,2.615701204,1.05898829,7.277430207
2000,Sudan,3.442093537,1017.286263,86067837310,,10.10025929,,58.472,,3.199694989,9.853136581
2000,Syrian Arab Republic,0.2582801739,,,,25.78646426,,73.11,,1.397089248,9.70098597
2000,Tajikistan,6.639862358,434.3443177,,,1.012127374,,61.974,,2.735935176,22.63187361
2000,Tanzania,1.978704412,522.0768365,2520958496,,3.755427826,,50.801,,3.46442642,8.201104251
2000,Timor-Leste,,940.9489372,52049900,,0.4036264425,,59.002,,,
2000,Togo,-3.683792323,505.5008892,846849886.6,,7.161803247,,53.491,,3.540361003,10.04945674
2000,Tunisia,3.687933102,2692.938808,11664861753,56.72127583,3.71892241,,73.172,3.973037434,3.496070831,3.283579422
2000,Uganda,0.09890135809,514.5142032,810603346.3,,12.04941439,,46.229,,2.59476175,11.11730588
2000,Ukraine,6.971350136,1817.972846,67910259591,45.28746987,3.784038894,822750000,67.67560976,1.370376904,1.903286294,23.11594264
2000,Uzbekistan,2.408081724,1197.129252,3070358333,,17.61175858,,67.156,,0.5428576299,47.29261521
2000,Vanuatu,3.803037157,2836.561024,,,0.8026175733,,67.363,,7.44668952,2.178970581
